param,xgb_mse_cv_results,xgb_adj_r2_cv_results,early_stopping_rounds,early_stopping_round_mean,xgb_mse_mean,xgb_mse_95_ci_lower,xgb_mse_95_ci_upper,xgb_adj_r2_mean,xgb_adj_r2_95_ci_lower,xgb_adj_r2_95_ci_upper
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'reg_lambda': 2, 'subsample': 0.8}","[0.5594440307768677, 0.6187639612807149, 0.49950347567030784, 0.5121648460774578, 0.5727408142999006]","[0.8773696445685801, 0.8661960096764237, 0.8887460993096139, 0.8774617107396829, 0.8723962645250454]","[1239, 481, 386, 492, 506]",621.0,0.5525234256210497,0.4927028679037173,0.6123439833383821,0.8764339457638691,0.8661453684155619,0.8867225231121764
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 7, 'reg_lambda': 2, 'subsample': 0.8}","[0.5462894018366841, 0.6339041945892281, 0.4990069513406157, 0.503227408142999, 0.5881330685203575]","[0.8802531444966483, 0.8629220251558709, 0.8888566896681529, 0.8796000424960432, 0.868966948703872]","[550, 442, 368, 368, 531]",452.0,0.5541122048859769,0.48275370755794983,0.6254707022140039,0.8761197701041175,0.8634455258895904,0.8887940143186445
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'reg_lambda': 2, 'subsample': 0.8}","[0.5611814345991561, 0.6160337552742616, 0.4987586891757696, 0.557845084409136, 0.5652929493545183]","[0.8769888049554391, 0.8667864003276711, 0.8889119848474226, 0.8665324595405077, 0.8740556108901294]","[59, 47, 39, 133, 51]",66.0,0.5598223825625683,0.508161934229829,0.6114828308953076,0.874655052112234,0.8632588008968598,0.8860513033276083
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'reg_lambda': 2, 'subsample': 0.8}","[0.5639116406056094, 0.638620004964011, 0.5248262164846077, 0.5359980139026812, 0.5722442899702085]","[0.8763903427062174, 0.8619022594855348, 0.8831059910241171, 0.8717594927227219, 0.872506887616051]","[43, 43, 31, 48, 45]",42.0,0.5671200331854236,0.5119178219514251,0.6223222444194221,0.8731329947109285,0.8635456338114262,0.8827203556104308
